reset_n data_valid input_registers next_pc  ini.pc    ini.adjustment ini.destination_value ini.destination ini.flags ini.destination_is_memory ini.has_flushed ini.is_valid  :  expected_address expected_data expected_has_flushed expected_address_enable expected_output_registers  expected_ini.hold
0       X          XXXXXXXX        XXXXXXXX XXXXXXXX  XXXXXXXX       XXXXXXXX              XX              XXXX      X                         X               X             :  XXXXXXXX         XXXXXXXX      0                    0                       00000000                   0
1       X          00000000        00000000 00000000  00000000       00000000              00              0000      0                         0               1             :  00000000         00000000      0                    0                       00000000                   0
1       0          00000000        00000000 00000000  00000000       00000000              00              0000      1                         0               1             :  00000000         00000000      0                    1                       00000000                   1
1       1          00000000        00000000 00000000  00000000       00000000              00              0000      1                         0               0             :  00000000         00000000      0                    0                       00000000                   0
1       1          00000000        00000000 00000000  00000000       00000000              00              0000      1                         0               1             :  00000000         00000000      0                    1                       00000000                   0
1       X          00000000        00000000 00000000  00000000       00000000              01              0000      0                         0               1             :  00000000         00000000      0                    0                       00000000                   0
1       0          00000000        00000000 00000000  00000000       00000000              01              0000      1                         0               1             :  00000000         00000000      0                    1                       00000000                   1
1       1          00000000        00000000 00000000  00000000       00000000              01              0000      1                         0               0             :  00000000         00000000      0                    0                       00000000                   0
1       1          00000000        00000000 00000000  00000000       00000000              01              0000      1                         0               1             :  00000000         00000000      0                    1                       00000000                   0
1       X          00000000        00000000 00000000  00000000       00000000              00              1001      0                         0               1             :  00000000         00000000      0                    0                       00000000,00000000,48000000 0
1       0          00000000        00000000 00000000  00000000       00000000              00              1001      1                         0               1             :  00000000         00000000      0                    1                       00000000,00000000,48000000 1
1       1          00000000        00000000 00000000  00000000       00000000              00              1001      1                         0               0             :  00000000         00000000      0                    0                       00000000,00000000,48000000 0
1       1          00000000        00000000 00000000  00000000       00000000              00              1001      1                         0               1             :  00000000         00000000      0                    1                       00000000,00000000,48000000 0
1       X          00000000        00000000 00000000  00000000       00000000              01              1001      0                         0               1             :  00000000         00000000      0                    0                       00000000,00000000,48000000 0
1       0          00000000        00000000 00000000  00000000       00000000              01              1001      1                         0               1             :  00000000         00000000      0                    1                       00000000,00000000,48000000 1
1       1          00000000        00000000 00000000  00000000       00000000              01              1001      1                         0               0             :  00000000         00000000      0                    0                       00000000,00000000,48000000 0
1       1          00000000        00000000 00000000  00000000       00000000              01              1001      1                         0               1             :  00000000         00000000      0                    1                       00000000,00000000,48000000 0
1       X          00000000        00000000 00000000  00000000       11111111              00              0000      0                         0               1             :  00000000         11111111      0                    0                       00000000                   0
1       0          00000000        00000000 00000000  00000000       11111111              00              0000      1                         0               1             :  00000000         11111111      0                    1                       00000000                   1
1       1          00000000        00000000 00000000  00000000       11111111              00              0000      1                         0               0             :  00000000         11111111      0                    0                       00000000                   0
1       1          00000000        00000000 00000000  00000000       11111111              00              0000      1                         0               1             :  00000000         11111111      0                    1                       00000000                   0
1       X          00000000        00000000 00000000  00000000       11111111              01              0000      0                         0               1             :  11111111         11111111      0                    0                       11111111,00000000          0
1       0          00000000        00000000 00000000  00000000       AAAAAAAA              01              0000      1                         0               1             :  00000000         AAAAAAAA      0                    1                       00000000                   1
1       1          00000000        00000000 00000000  00000000       11111111              01              0000      1                         0               0             :  00000000         11111111      0                    0                       00000000                   0
1       1          00000000        00000000 00000000  00000000       11111111              01              0000      1                         0               1             :  00000000         11111111      0                    1                       00000000                   0
1       X          00000000        00000000 00000000  00000000       11111111              00              1001      0                         0               1             :  00000000         11111111      0                    0                       00000000,00000000,48000000 0
1       0          00000000        00000000 00000000  00000000       11111111              00              1001      1                         0               1             :  00000000         11111111      0                    1                       00000000,00000000,48000000 1
1       1          00000000        00000000 00000000  00000000       11111111              00              1001      1                         0               0             :  00000000         11111111      0                    0                       00000000,00000000,48000000 0
1       1          00000000        00000000 00000000  00000000       11111111              00              1001      1                         0               1             :  00000000         11111111      0                    1                       00000000,00000000,48000000 0
1       X          00000000        00000000 00000000  00000000       11111111              01              1001      0                         0               1             :  11111111         11111111      0                    0                       11111111,00000000,48000000 0
1       0          00000000        00000000 00000000  00000000       AAAAAAAA              01              1001      1                         0               1             :  00000000         AAAAAAAA      0                    1                       00000000,00000000,48000000 1
1       1          00000000        00000000 00000000  00000000       11111111              01              1001      1                         0               0             :  00000000         11111111      0                    0                       00000000,00000000,48000000 0
